发表时间,会议（没中或者是报告的话填None）,方法名称,论文名字,架构,方向,论文单位（全称）,论文链接,论文仓库,论文创新点（CH）,论文创新点（EN）,本组工作
2023.05,AAAI 2024,FISEdit ,Accelerating Text-to-Image Editing via Cache-Enabled Sparse Diffusion Inferenc,Unet,图片生成,Peking University,https://arxiv.org/pdf/2305.17423,https://github.com/Hankpipi/diffusers-hetu," ",,
2023.12,,DeepCache,DeepCache: Accelerating Diffusion Models for Free,Unet,,National University of Singapore,https://arxiv.org/pdf/2312.00858,https://github.com/horseee/DeepCache,,,
2023.12,,Block Caching,Cache Me if You Can: Accelerating Diffusion Models through Block Caching,Unet,,Meta GenAI,https://arxiv.org/pdf/2312.03209,,,,
2023.12,,Approximate Caching,Approximate Caching for Efficiently Serving Diffusion Models,,,Adobe,https://arxiv.org/pdf/2312.04429,,,,
2024.04,,T-GATE V1,Cross-Attention Makes Inference Cumbersome in Text-to-Image Diffusion Models,,,KAUST,https://arxiv.org/pdf/2404.02747v1,https://github.com/HaozheLiu-ST/T-GATE,,,
2024.04,,T-GATE V2,Faster Diffusion via Temporal Attention Decomposition,,,KAUST,https://arxiv.org/pdf/2404.02747,,,,
2024.06,,Layer Caching,Learning-to-Cache: Accelerating Diffusion Transformer via Layer Caching,,,National University of Singapore,https://arxiv.org/pdf/2406.01733,https://github.com/horseee/learning-to-cache/,,,
2024.06,None,∆-DiT,∆-DiT: A Training-Free Acceleration Method Tailored for Diffusion Transformers,DiT,图片生成,Fudan,https://arxiv.org/pdf/2406.01125,,,,
2024.07,,ElasticCache-LVLM,Efficient Inference of Vision Instruction-Following Models with Elastic Cache,,,Tsinghua,https://arxiv.org/pdf/2407.18121,https://github.com/liuzuyan/ElasticCache,,,
2024.07,,FORA,FORA: Fast-Forward Caching in Diffusion Transformer Acceleration,DiT,图片生成,Microsoft,https://arxiv.org/pdf/2407.01425,https://github.com/prathebaselva/FORA,,,
2024.07,,VCUT,Faster Image2Video Generation: A Closer Look at CLIP Image Embedding’s Impact on Spatio-Temporal Cross-Attentions,,,The University of Western Australia,https://arxiv.org/pdf/2407.19205,,,,
2024.09,,TokenCache,Token Caching for Diffusion Transformer Acceleration,,,University of Chinese Academy of Sciences,https://arxiv.org/pdf/2409.18523,,,,
2024.09,,FRDiff,FRDiff : Feature Reuse for Universal Training-free Acceleration of Diffusion Models,,,Pohang University of Science and Technology,https://arxiv.org/pdf/2312.03517,https://github.com/Jungwon-Lee/FRDiff,,,
2024.1,,FasterCache,FasterCache: Training-Free Video Diffusion Model Acceleration with High Quality,,,,https://arxiv.org/pdf/2410.19355,https://github.com/Vchitect/FasterCache,,,
2024.1,ICLR2025,ToCa,ToCa: Accelerating Diffusion Transformers with Token-wise Feature Caching,DiT,,Shanghai Jiao Tong University,,,,,是
2024.11,,AdaCache,Adaptive Caching for Faster Video Generation with Diffusion Transformers,,视频生成,Meta,https://adacache-dit.github.io/clarity/adacache_meta.pdf,https://github.com/AdaCache-DiT/AdaCache,,,
2024.11,CVPR 2025,TeaCache,Timestep Embedding Tells: It’s Time to Cache for Video Diffusion Model,,"图片生成, 视频生成",Alibaba,https://arxiv.org/pdf/2411.19108,https://github.com/LiewFeng/TeaCache,,,
2024.11,,LazyDiT,LazyDiT: Lazy Learning for the Acceleration of Diffusion Transformers,DiT,视频生成,Adobe Research,https://arxiv.org/pdf/2412.12444,,,,
2024.11,,Ca2-VDM,Ca2-VDM: Efficient Autoregressive Video Diffusion Model with Causal Generation and Cache Sharing,,,,https://arxiv.org/pdf/2411.16375,https://github.com/Dawn-LX/CausalCache-VDM/,,,
2024.11,,SmoothCache,SmoothCache: A Universal Inference Acceleration Technique for Diffusion Transformers,,,Roblox,https://arxiv.org/pdf/2411.10510,https://github.com/Roblox/SmoothCache,,,
